Killed 0 pending application instances
DEBUG 2022-05-09 13:49:14,487 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\numpy\lib\index_tricks.py first seen with mtime 1634321888.9956064
DEBUG 2022-05-09 13:49:14,487 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1631533788.2000144
DEBUG 2022-05-09 13:49:14,487 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\templatetags\cache.py first seen with mtime 1631533788.323074
DEBUG 2022-05-09 13:49:14,488 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\db\models\functions\window.py first seen with mtime 1631533788.2020075
DEBUG 2022-05-09 13:49:14,488 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\numpy\core\machar.py first seen with mtime 1634321888.6727667
DEBUG 2022-05-09 13:49:14,488 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\asyncio\proactor_events.py first seen with mtime 1630348524.0
DEBUG 2022-05-09 13:49:14,488 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\template\library.py first seen with mtime 1631533788.3074515
DEBUG 2022-05-09 13:49:14,488 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\test\__init__.py first seen with mtime 1631533788.323074
DEBUG 2022-05-09 13:49:14,488 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\db\backends\postgresql\client.py first seen with mtime 1631533788.126701
DEBUG 2022-05-09 13:49:14,488 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\requests\cookies.py first seen with mtime 1649661467.2765772
DEBUG 2022-05-09 13:49:14,488 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\numpy\core\umath.py first seen with mtime 1634321888.6948814
DEBUG 2022-05-09 13:49:14,488 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\email\feedparser.py first seen with mtime 1630348524.0
DEBUG 2022-05-09 13:49:14,489 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\sqlparse\lexer.py first seen with mtime 1631533783.5649462
DEBUG 2022-05-09 13:49:14,489 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\contrib\__init__.py first seen with mtime 1631533784.9851122
DEBUG 2022-05-09 13:49:14,489 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\views\generic\list.py first seen with mtime 1631533788.4011793
DEBUG 2022-05-09 13:49:14,489 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\requests\sessions.py first seen with mtime 1649661467.2765772
DEBUG 2022-05-09 13:49:14,489 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\yaml\loader.py first seen with mtime 1632317782.6297703
DEBUG 2022-05-09 13:49:14,489 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\pkg_resources\_vendor\packaging\_compat.py first seen with mtime 1631533774.7105918
DEBUG 2022-05-09 13:49:14,489 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\rest_framework\response.py first seen with mtime 1631810655.379502
